port,cargo_type,customer_type,industry,transport_mode,distance_km,transport_cost,port_cost,total_cost,delay_occurred,delay_days,monthly_spend_value,shipment_frequency,storage_required,storage_days,express_required,loss_due_to_delay,customer_satisfaction,will_choose_portkart
Kolkata,Container,Retailer,FMCG,Road,1334,84416,29955,114371,1,1,343113,14,0,6,1,1429,5,1
Chennai,Hazardous,Importer,Chemicals,Rail,723,61852,24507,86359,0,0,518154,7,0,5,0,0,1,1
Cochin,Bulk,Retailer,FMCG,Rail,392,48573,35582,84155,0,0,504930,6,1,6,1,0,3,1
Cochin,Liquid,Distributor,Textiles,Road,756,80863,30842,111705,1,3,670230,3,0,5,0,25302,2,1
Chennai,Bulk,Distributor,Machinery,Rail,1116,62152,20511,82663,0,0,330652,5,0,3,1,0,1,0
Chennai,Liquid,Importer,Machinery,Road,266,60724,22807,83531,0,0,668248,11,0,5,1,0,1,1
Chennai,Hazardous,Distributor,Textiles,Road,88,77814,39278,117092,0,0,585460,13,1,4,0,0,3,1
Cochin,Container,Distributor,FMCG,Multi-modal,351,65890,34306,100196,1,2,701372,4,1,6,0,17054,2,1
Mundra,Liquid,Retailer,FMCG,Road,860,69521,27026,96547,0,0,579282,2,0,5,1,0,1,1
JNPT,Container,Distributor,Chemicals,Rail,1316,70632,29280,99912,0,0,699384,14,1,1,1,0,4,1
Cochin,Liquid,Retailer,FMCG,Multi-modal,1177,69191,34046,103237,0,0,929133,9,1,3,0,0,5,1
Chennai,Container,Retailer,Electronics,Road,1107,55169,26385,81554,0,0,733986,3,0,3,0,0,3,0
JNPT,Bulk,Retailer,FMCG,Multi-modal,67,64892,30907,95799,0,0,862191,11,0,2,1,0,4,1
Chennai,Hazardous,Distributor,Machinery,Road,1383,59072,30522,89594,1,2,179188,5,0,2,0,13782,3,1
Chennai,Hazardous,Retailer,FMCG,Multi-modal,283,89595,37310,126905,1,4,888335,2,1,3,1,5544,3,1
JNPT,Bulk,Retailer,FMCG,Road,203,61952,25767,87719,1,2,263157,12,1,4,0,5354,3,1
Cochin,Hazardous,Retailer,Electronics,Rail,839,76945,27211,104156,0,0,416624,3,1,5,0,0,5,1
Kolkata,Container,Retailer,Machinery,Rail,144,44861,24766,69627,1,2,278508,13,0,6,1,4092,4,1
Mundra,Liquid,Distributor,FMCG,Road,759,60860,27276,88136,1,3,793224,11,1,5,1,19140,1,1
JNPT,Hazardous,Exporter,Electronics,Road,841,46589,35589,82178,0,0,164356,11,0,1,0,0,5,0
Chennai,Liquid,Importer,FMCG,Road,680,74592,32077,106669,0,0,746683,8,0,5,1,0,4,1
Cochin,Container,Exporter,Electronics,Road,1319,70523,31859,102382,1,1,307146,2,1,4,1,6153,3,1
JNPT,Bulk,Retailer,Textiles,Multi-modal,483,63703,35234,98937,1,1,890433,13,1,1,0,8411,4,1
Kolkata,Hazardous,Exporter,Electronics,Road,1229,64491,24830,89321,0,0,714568,10,0,1,0,0,2,1
Chennai,Bulk,Retailer,FMCG,Road,1026,88347,29468,117815,1,4,706890,7,1,6,0,30604,1,1
Kolkata,Hazardous,Distributor,Chemicals,Multi-modal,1299,82733,28308,111041,0,0,888328,4,0,2,1,0,5,1
Mundra,Container,Importer,Textiles,Rail,1306,64726,34008,98734,0,0,888606,12,1,5,0,0,2,1
Cochin,Container,Importer,FMCG,Rail,722,63914,30107,94021,0,0,752168,10,0,3,0,0,2,1
Mundra,Bulk,Distributor,Machinery,Road,1067,61404,22882,84286,0,0,421430,4,0,5,1,0,2,0
Mundra,Container,Exporter,Electronics,Road,733,74169,36829,110998,0,0,998982,10,1,6,1,0,5,1
Chennai,Bulk,Exporter,FMCG,Road,853,58179,24849,83028,0,0,747252,7,1,2,0,0,1,1
Kolkata,Bulk,Importer,Electronics,Multi-modal,1256,85263,32420,117683,1,2,353049,7,0,5,1,19946,1,1
Cochin,Bulk,Distributor,Machinery,Road,154,68276,26995,95271,0,0,762168,3,0,2,0,0,5,1
Mundra,Liquid,Importer,Electronics,Multi-modal,88,67115,23854,90969,1,2,272907,12,0,6,0,11714,1,1
Cochin,Bulk,Exporter,FMCG,Multi-modal,728,64949,27693,92642,0,0,277926,5,0,2,0,0,4,1
Cochin,Hazardous,Distributor,Electronics,Road,1189,49879,25543,75422,0,0,452532,4,0,2,1,0,5,1
JNPT,Liquid,Distributor,Textiles,Rail,1222,54497,38915,93412,1,1,373648,3,1,4,1,1425,5,1
JNPT,Hazardous,Distributor,FMCG,Multi-modal,648,78997,21239,100236,1,2,701652,8,0,1,1,18204,5,1
Mundra,Liquid,Exporter,FMCG,Multi-modal,1321,44383,38083,82466,0,0,742194,11,1,1,1,0,5,1
Kolkata,Container,Exporter,Textiles,Rail,123,60955,31820,92775,1,1,834975,7,0,2,1,1472,4,1
Mundra,Liquid,Importer,FMCG,Road,611,46473,28530,75003,0,0,600024,13,0,1,1,0,4,1
Kolkata,Liquid,Importer,Chemicals,Rail,663,61307,31002,92309,1,2,553854,3,1,4,0,17620,5,1
JNPT,Container,Importer,FMCG,Rail,295,69402,24352,93754,1,4,281262,7,0,1,0,12348,1,1
Cochin,Bulk,Exporter,Textiles,Road,407,72094,38440,110534,1,1,663204,10,1,1,0,5797,4,1
Mundra,Container,Importer,Machinery,Multi-modal,1092,57167,38763,95930,1,4,191860,4,0,3,0,7444,5,1
Kolkata,Liquid,Importer,FMCG,Road,557,43526,31593,75119,0,0,600952,4,1,1,1,0,4,1
Chennai,Container,Retailer,Electronics,Road,616,59213,30401,89614,0,0,179228,2,1,5,0,0,4,0
Mundra,Bulk,Importer,Machinery,Road,1360,68123,34281,102404,0,0,614424,11,1,1,1,0,4,1
Cochin,Container,Importer,Chemicals,Road,586,78673,32308,110981,1,1,332943,8,0,6,0,7075,3,1
JNPT,Container,Exporter,FMCG,Multi-modal,353,41971,33568,75539,0,0,453234,7,1,1,1,0,5,1
Kolkata,Container,Importer,FMCG,Road,1438,43936,37096,81032,0,0,243096,7,1,3,0,0,1,1
Chennai,Container,Exporter,FMCG,Rail,595,80090,32174,112264,1,3,673584,3,1,2,1,14868,2,1
Kolkata,Liquid,Exporter,Chemicals,Road,1302,46668,25000,71668,1,4,358340,8,1,1,1,16988,4,1
JNPT,Container,Importer,Electronics,Multi-modal,155,67280,21037,88317,1,3,353268,2,1,5,1,26697,5,1
Kolkata,Bulk,Distributor,Textiles,Multi-modal,351,45906,32572,78478,1,3,392390,12,1,4,1,26586,2,1
Cochin,Hazardous,Importer,Chemicals,Rail,524,62740,23742,86482,1,4,518892,4,1,5,0,4656,2,1
Mundra,Bulk,Exporter,Machinery,Road,95,42665,33129,75794,0,0,227382,2,0,1,1,0,1,0
JNPT,Hazardous,Distributor,Electronics,Multi-modal,1465,68658,25203,93861,0,0,657027,13,1,4,0,0,4,1
Chennai,Bulk,Exporter,Machinery,Road,81,89527,20256,109783,0,0,768481,8,1,3,1,0,5,1
Mundra,Container,Exporter,FMCG,Road,1352,64723,32943,97666,0,0,585996,12,0,1,0,0,1,1
Mundra,Container,Retailer,Chemicals,Multi-modal,556,79097,22216,101313,0,0,607878,9,0,1,0,0,1,1
Mundra,Bulk,Distributor,Electronics,Multi-modal,834,68500,29815,98315,0,0,884835,5,1,5,0,0,3,1
Kolkata,Liquid,Exporter,FMCG,Multi-modal,1348,47626,36137,83763,0,0,502578,12,1,6,0,0,4,1
Cochin,Container,Distributor,Textiles,Multi-modal,278,89892,28495,118387,1,2,591935,12,0,2,1,11930,5,1
JNPT,Bulk,Retailer,FMCG,Multi-modal,266,57373,32684,90057,1,1,630399,1,1,5,1,6444,4,1
Mundra,Bulk,Importer,Textiles,Road,686,49886,31465,81351,0,0,569457,5,1,4,1,0,1,1
Chennai,Container,Exporter,Textiles,Road,564,70635,26613,97248,1,1,388992,4,1,5,1,9499,5,1
Mundra,Hazardous,Distributor,Machinery,Multi-modal,1181,62852,20666,83518,0,0,417590,8,0,5,1,0,1,0
Mundra,Bulk,Distributor,FMCG,Rail,1018,80382,24274,104656,0,0,523280,5,1,5,0,0,4,1
Cochin,Liquid,Retailer,Chemicals,Multi-modal,503,68894,27943,96837,0,0,581022,3,0,1,0,0,5,1
Mundra,Container,Exporter,FMCG,Rail,970,47407,20774,68181,0,0,613629,12,1,4,0,0,5,1
JNPT,Liquid,Exporter,Textiles,Road,1244,62695,29966,92661,1,4,555966,1,1,6,0,19428,1,1
JNPT,Liquid,Importer,FMCG,Multi-modal,934,60223,31370,91593,1,2,641151,13,1,3,1,7110,2,1
Chennai,Bulk,Distributor,Chemicals,Multi-modal,204,44721,32446,77167,1,4,154334,6,1,3,1,16332,3,1
Mundra,Liquid,Exporter,Textiles,Road,820,47711,20938,68649,0,0,274596,9,1,5,0,0,2,1
Chennai,Liquid,Exporter,Electronics,Rail,460,66761,26966,93727,0,0,468635,6,1,2,1,0,3,1
Mundra,Liquid,Importer,Electronics,Rail,899,61618,36139,97757,0,0,879813,13,0,6,0,0,3,1
Kolkata,Hazardous,Retailer,FMCG,Road,952,74621,37137,111758,0,0,670548,1,0,6,1,0,3,1
Cochin,Hazardous,Distributor,Machinery,Road,823,45280,24244,69524,0,0,417144,3,0,2,0,0,5,1
Chennai,Container,Importer,Machinery,Rail,1261,67018,37097,104115,1,2,832920,2,0,6,1,18258,3,1
Kolkata,Bulk,Retailer,Chemicals,Rail,149,61053,25106,86159,0,0,172318,7,1,6,0,0,5,1
Mundra,Hazardous,Retailer,Textiles,Rail,1094,42953,32173,75126,1,4,525882,14,0,3,0,30436,3,1
Kolkata,Bulk,Distributor,Chemicals,Road,571,63634,25783,89417,0,0,268251,2,1,1,0,0,3,1
Kolkata,Bulk,Importer,FMCG,Road,1478,51330,34980,86310,0,0,431550,1,0,5,0,0,1,1
JNPT,Container,Retailer,Textiles,Road,243,65157,38151,103308,0,0,826464,7,0,2,1,0,2,1
Mundra,Container,Distributor,Chemicals,Road,321,89282,21293,110575,0,0,663450,6,0,4,0,0,2,1
JNPT,Bulk,Distributor,Electronics,Multi-modal,1461,42636,34834,77470,0,0,619760,5,1,6,0,0,1,0
Chennai,Liquid,Importer,Electronics,Rail,695,42076,39574,81650,0,0,653200,1,1,1,0,0,4,0
Cochin,Liquid,Importer,Electronics,Road,1078,58047,28748,86795,1,4,781155,12,0,1,0,18584,3,1
Kolkata,Container,Distributor,Machinery,Rail,611,49145,38226,87371,1,1,262113,10,0,2,0,4037,1,1
JNPT,Bulk,Exporter,Chemicals,Road,770,64512,23773,88285,0,0,176570,9,1,1,1,0,4,0
Cochin,Bulk,Importer,Machinery,Road,1017,87452,28330,115782,1,2,810474,4,1,4,1,5098,1,1
JNPT,Hazardous,Importer,Electronics,Multi-modal,281,78014,26967,104981,0,0,839848,9,0,1,0,0,5,1
Cochin,Bulk,Retailer,Chemicals,Road,445,57184,26109,83293,0,0,416465,1,0,2,0,0,4,0
Kolkata,Container,Retailer,Electronics,Rail,1466,86656,27177,113833,0,0,341499,5,0,4,0,0,1,1
JNPT,Liquid,Retailer,Chemicals,Multi-modal,309,59158,39874,99032,0,0,693224,10,1,1,1,0,1,1
Chennai,Bulk,Exporter,FMCG,Multi-modal,322,72252,27796,100048,1,2,400192,11,1,3,0,9854,5,1
Chennai,Hazardous,Exporter,FMCG,Multi-modal,1157,57934,34714,92648,0,0,463240,9,1,4,0,0,2,1
Cochin,Hazardous,Distributor,FMCG,Road,825,72322,37942,110264,0,0,661584,5,1,6,1,0,4,1
Chennai,Hazardous,Distributor,FMCG,Rail,1426,43665,36308,79973,0,0,159946,7,0,4,0,0,2,1
Chennai,Liquid,Importer,Textiles,Rail,553,50872,35318,86190,0,0,172380,1,1,3,1,0,1,0
Kolkata,Container,Exporter,FMCG,Rail,592,68022,24234,92256,1,2,184512,4,1,3,1,8718,2,1
JNPT,Hazardous,Retailer,Electronics,Multi-modal,275,47389,34666,82055,0,0,410275,8,0,1,0,0,5,1
Cochin,Container,Distributor,Electronics,Multi-modal,1263,76180,38883,115063,0,0,1035567,4,0,6,0,0,2,1
Mundra,Container,Retailer,Chemicals,Road,1291,42446,36183,78629,0,0,157258,3,0,1,0,0,5,0
Kolkata,Liquid,Retailer,Machinery,Road,1192,88720,22500,111220,0,0,333660,1,0,2,1,0,4,1
Chennai,Liquid,Exporter,Chemicals,Multi-modal,992,51844,28594,80438,1,1,402190,12,1,6,0,4153,1,1
Chennai,Hazardous,Distributor,Machinery,Road,158,50273,20751,71024,1,2,426144,5,0,5,1,19012,1,1
Mundra,Container,Retailer,FMCG,Road,1221,80416,27894,108310,0,0,433240,5,1,1,0,0,4,1
Mundra,Bulk,Exporter,Electronics,Multi-modal,65,78977,27115,106092,1,3,636552,9,1,4,0,28674,4,1
Cochin,Liquid,Retailer,Chemicals,Road,1251,59987,39905,99892,1,2,699244,11,1,4,1,3216,2,1
Chennai,Container,Distributor,Textiles,Rail,504,82586,23716,106302,1,3,744114,6,1,6,0,13209,4,1
JNPT,Bulk,Distributor,Chemicals,Road,346,54396,34430,88826,0,0,355304,11,0,6,1,0,2,1
Mundra,Hazardous,Retailer,Textiles,Rail,814,74626,35735,110361,0,0,331083,5,1,3,1,0,2,1
Mundra,Bulk,Retailer,Chemicals,Multi-modal,1053,41299,39864,81163,1,1,568141,11,0,6,0,7347,5,1
Mundra,Bulk,Retailer,Textiles,Rail,1353,41373,27082,68455,1,1,479185,3,1,5,0,8034,5,1
Chennai,Bulk,Distributor,Textiles,Multi-modal,1206,63412,30934,94346,1,2,566076,4,0,5,1,9510,5,1
JNPT,Hazardous,Importer,Chemicals,Road,734,59116,26473,85589,0,0,599123,5,1,5,0,0,4,0
Cochin,Liquid,Distributor,FMCG,Road,1342,57540,23061,80601,1,4,564207,13,0,1,0,35608,4,1
Kolkata,Container,Importer,FMCG,Multi-modal,1050,69810,38302,108112,1,3,324336,13,0,3,1,29223,5,1
Cochin,Container,Distributor,Machinery,Road,704,63195,37805,101000,1,2,707000,6,1,6,0,4932,1,1
Chennai,Hazardous,Distributor,Textiles,Rail,228,83048,25932,108980,0,0,980820,5,1,1,0,0,4,1
Chennai,Liquid,Retailer,Machinery,Multi-modal,219,43975,32919,76894,0,0,461364,13,0,2,1,0,2,0
JNPT,Liquid,Retailer,Chemicals,Rail,58,68645,26647,95292,0,0,381168,8,0,1,0,0,4,1
Kolkata,Liquid,Distributor,Chemicals,Rail,1486,53442,27383,80825,0,0,565775,8,1,1,1,0,1,0
Kolkata,Hazardous,Exporter,Chemicals,Rail,1146,80857,23731,104588,1,4,313764,6,0,5,0,6888,2,1
Chennai,Hazardous,Importer,Electronics,Road,1289,81043,23819,104862,0,0,314586,7,0,1,0,0,2,1
Mundra,Hazardous,Retailer,FMCG,Road,1393,48799,22124,70923,0,0,638307,8,1,4,0,0,5,1
JNPT,Hazardous,Distributor,FMCG,Multi-modal,500,51409,28172,79581,0,0,636648,14,0,5,1,0,4,1
Cochin,Liquid,Importer,Machinery,Rail,177,64604,38281,102885,0,0,823080,6,0,5,1,0,2,1
Kolkata,Liquid,Exporter,Machinery,Multi-modal,609,81719,30349,112068,1,1,336204,7,0,5,1,1238,1,1
Kolkata,Bulk,Retailer,Chemicals,Multi-modal,1051,49338,29749,79087,1,3,395435,6,1,1,0,15969,1,1
Cochin,Hazardous,Retailer,Textiles,Rail,185,73337,28411,101748,0,0,203496,1,1,6,1,0,3,1
Mundra,Liquid,Retailer,FMCG,Multi-modal,464,83738,30810,114548,1,4,801836,13,1,6,0,23432,3,1
Cochin,Container,Retailer,Chemicals,Road,1104,55231,28395,83626,0,0,167252,3,0,3,1,0,1,0
Kolkata,Bulk,Exporter,FMCG,Road,1395,84746,28727,113473,0,0,1021257,12,0,2,0,0,5,1
Chennai,Container,Distributor,FMCG,Road,927,58330,35365,93695,0,0,187390,10,1,6,0,0,1,1
JNPT,Hazardous,Distributor,FMCG,Road,441,83908,23299,107207,1,4,750449,2,1,1,0,24108,3,1
Cochin,Container,Importer,Chemicals,Road,1208,49012,28315,77327,0,0,309308,1,0,2,0,0,3,1
Cochin,Bulk,Exporter,FMCG,Road,712,78197,35210,113407,0,0,340221,7,0,2,1,0,5,1
Kolkata,Liquid,Retailer,Textiles,Multi-modal,867,77780,36640,114420,1,3,915360,12,1,6,0,20244,5,1
JNPT,Container,Distributor,Chemicals,Multi-modal,1170,64437,32684,97121,0,0,776968,8,0,5,1,0,3,1
Cochin,Bulk,Distributor,Chemicals,Road,750,50293,29332,79625,0,0,238875,5,0,4,0,0,4,0
JNPT,Bulk,Distributor,Chemicals,Road,1472,43465,38655,82120,0,0,164240,12,1,2,1,0,4,1
Kolkata,Liquid,Exporter,Chemicals,Multi-modal,1229,80363,23538,103901,0,0,831208,3,1,2,0,0,2,1
JNPT,Liquid,Distributor,Machinery,Road,870,79496,26030,105526,1,4,211052,2,1,6,0,13192,4,1
JNPT,Liquid,Distributor,Textiles,Rail,908,48766,35749,84515,0,0,676120,1,0,2,1,0,5,0
Cochin,Bulk,Distributor,Textiles,Road,80,75290,22391,97681,1,1,586086,7,0,6,0,2120,1,1
Mundra,Hazardous,Retailer,FMCG,Rail,897,43370,21908,65278,1,4,130556,4,1,2,1,19200,4,1
JNPT,Bulk,Importer,Textiles,Road,1180,41150,34537,75687,0,0,227061,1,1,2,0,0,4,1
Chennai,Bulk,Retailer,FMCG,Road,1416,79601,39008,118609,1,3,593045,14,0,2,1,26937,5,1
JNPT,Hazardous,Exporter,Electronics,Road,699,82616,28793,111409,1,2,557045,10,0,6,1,15252,3,1
Kolkata,Liquid,Distributor,Machinery,Rail,1206,59050,36933,95983,1,1,767864,14,0,2,1,8190,4,1
Kolkata,Bulk,Distributor,Electronics,Rail,1192,87150,32122,119272,0,0,238544,12,1,3,1,0,3,1
Cochin,Bulk,Retailer,Electronics,Multi-modal,509,69097,37351,106448,0,0,532240,9,0,6,1,0,3,1
Cochin,Bulk,Retailer,Machinery,Road,300,55340,33900,89240,0,0,535440,7,1,1,1,0,4,1
JNPT,Liquid,Retailer,FMCG,Rail,1075,87796,35975,123771,0,0,742626,7,0,6,0,0,5,1
JNPT,Container,Importer,Electronics,Road,810,64085,25615,89700,0,0,538200,4,0,1,1,0,2,1
Chennai,Hazardous,Distributor,Chemicals,Rail,362,52775,27549,80324,0,0,562268,4,1,3,1,0,3,0
Chennai,Container,Retailer,Chemicals,Road,1489,64832,32321,97153,0,0,291459,9,0,2,0,0,4,1
Mundra,Hazardous,Exporter,Electronics,Rail,737,54781,27097,81878,1,3,327512,8,0,5,0,16092,4,1
Cochin,Container,Importer,Chemicals,Road,1104,46125,24370,70495,1,2,563960,10,1,3,0,7338,4,1
Mundra,Liquid,Exporter,Electronics,Multi-modal,635,52282,34891,87173,0,0,261519,5,0,6,0,0,1,1
JNPT,Liquid,Retailer,Textiles,Road,441,76324,22193,98517,1,1,492585,8,0,4,0,2152,1,1
Mundra,Bulk,Exporter,Textiles,Multi-modal,999,50367,39629,89996,0,0,539976,6,1,3,1,0,4,0
Cochin,Container,Exporter,Electronics,Rail,1478,79727,38201,117928,0,0,589640,2,0,6,0,0,5,1
Cochin,Container,Retailer,Machinery,Multi-modal,1376,41264,29047,70311,1,2,351555,2,1,2,0,3210,4,1
Kolkata,Bulk,Distributor,Textiles,Rail,180,72089,37661,109750,1,4,658500,2,0,4,1,7776,4,1
Kolkata,Container,Distributor,Machinery,Multi-modal,629,57580,37596,95176,1,1,571056,2,1,4,1,1543,5,1
Mundra,Container,Distributor,Electronics,Rail,398,87717,22866,110583,1,1,221166,10,0,6,1,6696,2,1
Cochin,Hazardous,Importer,FMCG,Multi-modal,627,63693,34947,98640,1,3,394560,9,0,1,1,6762,4,1
Mundra,Liquid,Exporter,FMCG,Rail,211,61655,30006,91661,1,1,641627,2,0,1,1,5675,5,1
Chennai,Hazardous,Distributor,Textiles,Multi-modal,943,75436,37548,112984,0,0,903872,2,1,2,0,0,1,1
Chennai,Hazardous,Retailer,FMCG,Multi-modal,283,87972,38448,126420,0,0,379260,6,1,6,1,0,1,1
Chennai,Bulk,Importer,FMCG,Rail,1086,63999,23436,87435,0,0,262305,2,1,3,0,0,5,0
JNPT,Bulk,Importer,Machinery,Road,93,88055,21845,109900,1,3,879200,14,1,6,1,20112,1,1
Mundra,Container,Importer,Textiles,Rail,703,71236,21244,92480,0,0,184960,14,0,3,0,0,4,1
Cochin,Bulk,Importer,Textiles,Multi-modal,342,40792,26927,67719,1,2,135438,1,0,5,0,12342,3,1
Cochin,Hazardous,Exporter,FMCG,Rail,1068,49754,27048,76802,0,0,384010,4,0,3,1,0,1,1
Kolkata,Container,Retailer,Textiles,Road,629,89289,31145,120434,0,0,1083906,8,0,2,1,0,5,1
Mundra,Bulk,Exporter,Electronics,Road,1486,42589,23034,65623,1,4,590607,4,1,4,0,22208,5,1
Chennai,Bulk,Exporter,Textiles,Multi-modal,999,76733,27184,103917,0,0,623502,13,1,1,1,0,3,1
Mundra,Bulk,Exporter,Chemicals,Road,313,76366,21526,97892,0,0,881028,14,0,3,1,0,1,1
Kolkata,Liquid,Exporter,FMCG,Rail,1423,54082,36482,90564,0,0,543384,12,1,1,0,0,2,1
Chennai,Liquid,Distributor,Machinery,Rail,1068,46729,26961,73690,1,1,515830,5,0,1,1,3948,4,1
Cochin,Bulk,Retailer,FMCG,Rail,1124,53615,34732,88347,0,0,353388,8,0,2,1,0,1,0
Cochin,Hazardous,Importer,FMCG,Road,1226,61814,23446,85260,1,2,511560,8,1,6,0,9544,4,1
Kolkata,Bulk,Exporter,Machinery,Road,673,67868,31434,99302,0,0,595812,5,1,1,1,0,3,1
Mundra,Container,Distributor,FMCG,Road,1020,81400,22092,103492,1,4,206984,9,1,5,1,9256,3,1
Chennai,Container,Distributor,Textiles,Rail,1474,47015,32117,79132,0,0,474792,1,0,5,1,0,5,0
JNPT,Bulk,Exporter,Electronics,Rail,1433,57604,22506,80110,0,0,720990,3,0,3,1,0,4,0
Mundra,Bulk,Exporter,Electronics,Multi-modal,832,81025,26092,107117,1,1,535585,9,1,4,0,8814,2,1
Chennai,Hazardous,Exporter,FMCG,Rail,1285,86042,34297,120339,0,0,601695,4,1,5,1,0,2,1
Cochin,Liquid,Importer,FMCG,Multi-modal,962,59897,24609,84506,0,0,253518,7,1,6,0,0,2,0
Mundra,Hazardous,Exporter,Chemicals,Rail,1318,56713,24858,81571,0,0,326284,2,1,6,1,0,5,0
Kolkata,Liquid,Importer,Chemicals,Multi-modal,882,54385,30983,85368,0,0,256104,10,1,1,1,0,1,1
Kolkata,Liquid,Importer,Electronics,Road,311,40891,37689,78580,0,0,471480,5,1,1,0,0,3,0
Cochin,Bulk,Importer,FMCG,Multi-modal,885,79412,24782,104194,0,0,625164,11,0,2,0,0,5,1
Kolkata,Bulk,Exporter,Machinery,Road,967,62030,27608,89638,0,0,806742,14,0,5,0,0,2,0
JNPT,Container,Distributor,Machinery,Rail,1407,50961,37705,88666,0,0,177332,10,1,5,1,0,4,1
Kolkata,Liquid,Distributor,Textiles,Road,473,56543,39276,95819,0,0,766552,8,0,3,0,0,5,1
JNPT,Bulk,Exporter,Textiles,Road,464,52939,33967,86906,0,0,260718,12,0,2,1,0,2,1
Mundra,Liquid,Exporter,Textiles,Rail,241,41607,36450,78057,1,4,546399,3,0,6,0,15972,1,1
Cochin,Liquid,Importer,Machinery,Multi-modal,1201,73539,31440,104979,1,2,944811,3,1,1,1,6084,4,1
Mundra,Bulk,Importer,Chemicals,Rail,85,75745,32541,108286,1,2,866288,3,0,5,1,14072,1,1
Chennai,Bulk,Retailer,Textiles,Rail,663,44626,30777,75403,1,4,603224,10,0,1,0,8492,3,1
Mundra,Hazardous,Distributor,Machinery,Road,789,75391,21403,96794,0,0,677558,9,1,2,0,0,5,1
JNPT,Bulk,Distributor,Electronics,Rail,769,61614,37621,99235,0,0,297705,2,0,1,0,0,5,1
JNPT,Liquid,Exporter,Chemicals,Rail,786,81410,20897,102307,0,0,204614,6,0,3,0,0,5,1
Chennai,Hazardous,Retailer,Machinery,Rail,413,62217,30707,92924,0,0,650468,11,0,1,1,0,4,1
Chennai,Hazardous,Exporter,Chemicals,Multi-modal,893,84303,34002,118305,1,3,473220,11,1,3,1,11433,4,1
Cochin,Liquid,Exporter,Chemicals,Rail,1370,85537,34161,119698,1,2,239396,9,1,3,0,14630,3,1
Kolkata,Bulk,Distributor,Textiles,Multi-modal,181,57238,35552,92790,0,0,649530,13,0,2,0,0,1,1
JNPT,Bulk,Importer,Machinery,Multi-modal,1455,64146,26846,90992,1,1,727936,2,0,1,0,6303,5,1
Chennai,Liquid,Exporter,Machinery,Rail,1496,48444,29611,78055,1,4,156110,9,0,3,1,18732,2,1
Mundra,Hazardous,Retailer,Machinery,Multi-modal,481,46895,39374,86269,0,0,172538,8,1,4,0,0,2,0
Chennai,Bulk,Importer,Textiles,Rail,1133,67780,37546,105326,0,0,842608,12,1,2,1,0,3,1
Mundra,Container,Exporter,FMCG,Road,1249,56855,36411,93266,0,0,559596,9,1,4,1,0,4,1
Cochin,Bulk,Retailer,Machinery,Rail,1307,75094,22330,97424,1,3,194848,10,1,3,1,10587,2,1
JNPT,Container,Importer,Electronics,Multi-modal,962,71239,31316,102555,0,0,820440,2,1,6,1,0,4,1
Cochin,Bulk,Importer,Textiles,Multi-modal,318,71385,29345,100730,1,4,302190,5,1,2,1,24080,2,1
JNPT,Container,Retailer,FMCG,Multi-modal,431,41648,35677,77325,1,2,231975,1,0,5,0,10148,5,1
Kolkata,Container,Distributor,Electronics,Multi-modal,665,80389,37046,117435,1,2,939480,14,1,3,1,4652,4,1
Cochin,Container,Importer,Chemicals,Rail,908,42106,33669,75775,0,0,303100,2,1,2,0,0,5,0
Kolkata,Hazardous,Importer,Electronics,Road,622,67437,36863,104300,1,4,730100,14,0,6,0,14560,2,1
Cochin,Bulk,Retailer,Machinery,Road,312,60526,21217,81743,1,3,490458,10,1,4,1,26613,5,1
Kolkata,Hazardous,Distributor,Electronics,Multi-modal,291,44049,28289,72338,0,0,289352,10,0,2,1,0,3,1
Mundra,Liquid,Distributor,Electronics,Rail,567,45244,22134,67378,1,2,134756,5,1,6,0,14556,5,1
Cochin,Container,Retailer,FMCG,Road,1090,56561,24354,80915,1,3,323660,8,1,4,0,19176,2,1
Chennai,Liquid,Exporter,Electronics,Road,1032,64809,36791,101600,0,0,304800,9,0,3,0,0,3,1
JNPT,Bulk,Distributor,Chemicals,Road,675,86827,21688,108515,1,2,868120,12,1,6,1,4972,4,1
JNPT,Bulk,Distributor,FMCG,Multi-modal,1139,65933,32252,98185,0,0,392740,3,1,1,1,0,2,1
Kolkata,Hazardous,Exporter,Chemicals,Road,469,55026,28428,83454,1,4,584178,13,1,4,0,19800,2,1
Kolkata,Liquid,Exporter,Chemicals,Road,1154,49442,32643,82085,0,0,164170,14,0,1,1,0,3,0
JNPT,Hazardous,Distributor,Textiles,Multi-modal,824,89751,27288,117039,0,0,585195,3,0,5,1,0,3,1
JNPT,Liquid,Distributor,Textiles,Road,965,86806,21354,108160,1,1,865280,1,1,3,1,7973,4,1
Chennai,Liquid,Distributor,Machinery,Road,822,58116,25340,83456,0,0,751104,10,1,3,1,0,5,0
JNPT,Bulk,Exporter,FMCG,Multi-modal,1287,76862,29524,106386,0,0,425544,3,1,3,1,0,4,1
Cochin,Bulk,Exporter,FMCG,Road,418,70831,24517,95348,0,0,476740,14,0,1,1,0,1,1
Chennai,Liquid,Distributor,Machinery,Multi-modal,265,84735,25009,109744,0,0,548720,13,0,4,1,0,3,1
Mundra,Container,Retailer,Chemicals,Road,1300,89554,36448,126002,1,2,756012,9,0,6,1,15088,5,1
Cochin,Container,Retailer,FMCG,Rail,1041,41694,34753,76447,0,0,229341,5,1,5,1,0,2,0
